	mass A						
t	x	y	vx	vy	ax	ay	
0.000	4.818E-3	-1.606E-3				
0.033	1.606E-3	9.636E-3	0.000	0.385		
0.067	4.818E-3	2.409E-2	0.120	0.771	3.510	11.56
0.100	9.636E-3	6.103E-2	0.217	1.229	2.271	7.640
0.133	1.927E-2	0.106	0.289	1.277	5.368	0.619
0.167	2.891E-2	0.146	0.530	1.229	6.194	-1.858
0.200	5.460E-2	0.188	0.771	1.180	5.781	-1.858
0.233	8.030E-2	0.225	0.867	1.084	4.130	-4.336
0.267	0.112	0.260	1.060	0.915	3.304	-4.955
0.300	0.151	0.286	1.108	0.723	3.717	-4.955
0.333	0.186	0.308	1.253	0.602	4.955	-4.336
0.367	0.234	0.326	1.494	0.434	3.717	-4.542
0.400	0.286	0.337	1.494	0.289	-1.239	-5.368
0.433	0.334	0.345	1.397	9.636E-2	-4.542	-3.717
0.467	0.379	0.344	1.204	0.000	-8.672	-2.478
0.500	0.414	0.345	0.819	-2.409E-2	-17.34	0.206
0.533	0.434	0.342	7.227E-2	-2.409E-2	-20.03	-0.206
0.567	0.419	0.344	-0.602	0.000	-18.79	-0.413
0.600	0.393	0.342	-1.108	-7.227E-2	-10.74	-0.619
0.633	0.345	0.339	-1.397	-4.818E-2	-4.955	-2.891
0.667	0.300	0.339	-1.373	-0.217	-0.619	-4.749
0.700	0.254	0.324	-1.445	-0.434	0.000	-6.607
0.733	0.204	0.310	-1.397	-0.602	1.652	-7.227
0.767	0.161	0.284	-1.301	-0.939	2.891	-8.053
0.800	0.117	0.247	-1.229	-1.156	3.923	-7.020
0.833	7.869E-2	0.207	-1.036	-1.373	7.640	-5.988
0.867	4.818E-2	0.156	-0.723	-1.590	9.085	-4.955
0.900	3.051E-2	0.101	-0.410	-1.686	7.640	3.304
0.933	2.088E-2	4.336E-2	-0.217	-1.421	4.749	13.42
0.967	1.606E-2	6.424E-3	-9.636E-2	-0.747	3.717	22.09
1.000	1.445E-2	-6.424E-3	2.409E-2	4.818E-2	3.097	17.76
1.033	1.767E-2	9.636E-3	0.120	0.506	2.271	13.83
1.067	2.248E-2	2.730E-2	0.169	0.867	2.684	12.39
1.100	2.891E-2	6.745E-2	0.289	1.397	4.130	6.607
1.133	4.175E-2	0.120	0.458	1.349	3.510	-3.304
1.167	5.942E-2	0.157	0.530	1.084	4.542	-3.510
1.200	7.708E-2	0.193	0.723	1.132	5.781	-0.206
1.233	0.108	0.233	0.964	1.108	5.368	-4.130
1.267	0.141	0.267	1.060	0.843	1.652	-6.401
1.300	0.178	0.289	1.084	0.650	3.923	-4.749
1.333	0.214	0.310	1.277	0.554	4.749	-3.923
1.367	0.263	0.326	1.469	0.385	2.684	-4.542
1.400	0.312	0.336	1.421	0.241	-1.445	-4.130
1.433	0.358	0.342	1.373	0.120	-3.923	-3.923
1.467	0.403	0.344	1.180	-2.409E-2	-10.94	-3.510
1.500	0.437	0.340	0.650	-0.120	-21.68	-0.619
1.533	0.446	0.336	-0.265	-7.227E-2	-21.68	1.445
1.567	0.419	0.336	-0.891	0.000	-14.66	0.826
1.600	0.387	0.336	-1.156	-2.409E-2	-7.020	-1.032
1.633	0.342	0.334	-1.397	-7.227E-2	-3.304	-3.097
1.667	0.294	0.331	-1.373	-0.217	0.206	-5.162
1.700	0.251	0.320	-1.349	-0.434	0.413	-6.194
1.733	0.204	0.302	-1.373	-0.626	0.206	-7.020
1.767	0.159	0.278	-1.325	-0.891	3.923	-8.053
1.800	0.116	0.242	-1.132	-1.180	5.162	-8.878
1.833	8.351E-2	0.199	-0.939	-1.469	7.227	-6.814
1.867	5.300E-2	0.145	-0.699	-1.662	8.053	-4.749
1.900	3.694E-2	8.833E-2	-0.361	-1.758	7.227	4.749
1.933	2.891E-2	2.730E-2	-0.217	-1.421	3.923	18.79
1.967	2.248E-2	-6.424E-3	-0.120	-0.458	3.510	23.74
2.000	2.088E-2	-3.212E-3	2.409E-2	0.241	2.684	16.52
2.033	2.409E-2	9.636E-3	7.227E-2	0.578	2.271	12.39
2.067	2.569E-2	3.533E-2	0.145	1.060	3.304	11.15
2.100	3.372E-2	8.030E-2	0.313	1.373	4.336	3.510
2.133	4.657E-2	0.127	0.434	1.277	4.542	-3.097
2.167	6.263E-2	0.165	0.602	1.132	5.575	-1.858
2.200	8.672E-2	0.202	0.819	1.156	6.194	-1.652
2.233	0.117	0.242	1.012	1.060	3.304	-4.130
2.267	0.154	0.273	1.060	0.843	2.891	-6.401
2.300	0.188	0.299	1.156	0.650	4.130	-6.401
2.333	0.231	0.316	1.373	0.410	4.749	-4.336
2.367	0.279	0.326	1.469	0.337	0.619	-3.304
2.400	0.329	0.339	1.421	0.241	-3.510	-4.130
2.433	0.374	0.342	1.229	2.409E-2	-5.162	-5.162
2.467	0.411	0.340	1.060	-9.636E-2	-12.80	0.000
2.500	0.445	0.336	0.458	0.000	-20.85	0.826
2.533	0.442	0.340	-0.434	2.409E-2	-21.89	-0.619
2.567	0.416	0.337	-0.988	-9.636E-2	-12.60	-2.478
2.600	0.376	0.334	-1.277	-0.120	-6.814	0.206
2.633	0.331	0.329	-1.421	-9.636E-2	-3.510	-4.130
2.667	0.281	0.328	-1.518	-0.337	-0.619	-5.368
2.700	0.230	0.307	-1.469	-0.554	2.271	-5.575
2.733	0.183	0.291	-1.349	-0.626	2.065	-8.259
2.767	0.140	0.265	-1.325	-1.108	4.749	-10.74
2.800	9.475E-2	0.217	-1.084	-1.421	6.401	-8.053
2.833	6.745E-2	0.170	-0.819	-1.566	8.259	-1.445
2.867	4.015E-2	0.112	-0.602	-1.590	7.640	0.000
2.900	2.730E-2	6.424E-2	-0.265	-1.494	7.640	7.846
2.933	2.248E-2	1.285E-2	-9.636E-2	-1.156	2.065	18.17
2.967	2.088E-2	-1.285E-2	-0.120	-0.241		
3.000	1.445E-2	-3.212E-3				
